_id,strDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strInstructions,strIngList
0,'57 Chevy with a White License Plate,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,Highball glass,Creme De Cacao,Vodka,,,,,,,,,,,1 oz white,1 oz,,,,,,,,,,,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,"[""Creme De Cacao"", ""Vodka""]"
1,1-900-FUK-MEUP,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,Old-fashioned glass,Absolut Kurant,Grand Marnier,Chambord Raspberry Liqueur,Midori Melon Liqueur,Malibu Rum,Amaretto,Cranberry Juice,Pineapple Juice,,,,,1/2 oz,1/4 oz,1/4 oz,1/4 oz,1/4 oz,1/4 oz,1/2 oz,1/4 oz,,,,,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,"[""Absolut Kurant"", ""Grand Marnier"", ""Chambord Raspberry Liqueur"", ""Midori Melon Liqueur"", ""Malibu Rum"", ""Amaretto"", ""Cranberry Juice"", ""Pineapple Juice""]"
2,110 in the shade,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Beer Glass,Lager,Tequila,,,,,,,,,,,16 oz,1.5 oz,,,,,,,,,,,Drop shooter in glass. Fill with beer,"[""Lager"", ""Tequila""]"
3,151 Florida Bushwacker,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Beer mug,Malibu Rum,Light Rum,151 Proof Rum,Dark Creme De Cacao,Cointreau,Milk,Coconut Liqueur,Vanilla Ice-Cream,,,,,1/2 oz,1/2 oz,1/2 oz Bacardi,1 oz,1 oz,3 oz,1 oz,1 cup,,,,,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,"[""Malibu Rum"", ""Light Rum"", ""151 Proof Rum"", ""Dark Creme De Cacao"", ""Cointreau"", ""Milk"", ""Coconut Liqueur"", ""Vanilla Ice-Cream""]"
4,155 Belmont,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,White wine glass,Dark Rum,Light Rum,Vodka,Orange Juice,,,,,,,,,1 shot,2 shots,1 shot,1 shot,,,,,,,,,Blend with ice. Serve in a wine glass. Garnish with carrot.,"[""Dark Rum"", ""Light Rum"", ""Vodka"", ""Orange Juice""]"
5,24k nightmare,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Shot glass,Goldschlager,Jägermeister,Rumple Minze,151 Proof Rum,,,,,,,,,1/2 oz,1/2 oz,1/2 oz,1/2 oz Bacardi,,,,,,,,,"Add over ice,shake and pour.","[""Goldschlager"", ""Jägermeister"", ""Rumple Minze"", ""151 Proof Rum""]"
6,252,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,Shot glass,151 Proof Rum,Wild Turkey,,,,,,,,,,,1/2 shot Bacardi,1/2 shot,,,,,,,,,,,"Add both ingredients to shot glass, shoot, and get drunk quick","[""151 Proof Rum"", ""Wild Turkey""]"
7,3 Wise Men,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,Collins glass,Jack Daniels,Johnnie Walker,Jim Beam,,,,,,,,,,1/3 oz,1/3 oz,1/3 oz,,,,,,,,,,put them them in a glass... and slam it to tha head.,"[""Jack Daniels"", ""Johnnie Walker"", ""Jim Beam""]"
8,3-Mile Long Island Iced Tea,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Collins Glass,Gin,Light Rum,Tequila,Triple Sec,Vodka,Coca-Cola,Sweet And Sour,Bitters,Lemon,,,,1/2 oz,1/2 oz,1/2 oz,1/2 oz,1/2 oz,,1-2 dash,1 wedge,,,,,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,"[""Gin"", ""Light Rum"", ""Tequila"", ""Triple Sec"", ""Vodka"", ""Coca-Cola"", ""Sweet And Sour"", ""Bitters"", ""Lemon""]"
9,410 Gone,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,Collins Glass,Peach Vodka,Coca-Cola,,,,,,,,,,,2-3 oz,,,,,,,,,,,,,"[""Peach Vodka"", ""Coca-Cola""]"
